particle,diagonal size,msd power,straightness,dead/alive (0/1)
45,3.419431874900557,0.4257703701250094,0.0532544962039434,0.0
46,4.231556017726447,0.6838292487806036,0.0506540721370126,0.0
47,1.1463042350894397,0.8803153420386176,0.1186803402933585,0.0
48,4.627637118883089,0.7448121123478918,0.0415707185294684,0.0
49,5.620464234306775,0.7183758465252037,0.0540323436065361,0.0
50,7.91282582383895,1.3785464171205652,0.1216863532938379,0.0
222,16.980853873104166,0.0,-92.55244594996694,1.0
308,10.42146328789984,0.0,-56.801143504369286,1.0
0,7.078459526658833,0.4330760070575539,0.7721747917871155,0.0
1,12.733432149710383,0.0,-69.40229858878148,1.0
2,31.16556257916484,1.204797720004777,0.0722505823646221,0.0
3,18.300017686363024,1.61785648018036,0.1104526769637112,0.0
4,21.86320706737836,1.9084561967314224,1.0031446916053488,1.0
5,4.501184500440861,1.9221372936642775,0.2496908471834743,0.0
6,29.23863883474303,1.833719030702268,0.0980865826574597,0.0
7,3.3935186003786906,1.7657861048942245,0.267519394125243,0.0
8,5.685937024652188,1.1775841608438522,0.2000564139509273,0.0
10,25.087438609376623,1.8440787911349672,0.1003124537681056,0.0
11,2.857312868864115,0.0,-15.573498060456972,0.0
12,25.801858477300396,1.8212521010105496,0.0945302924509736,0.0
14,6.115328610339182,1.4622720970166707,0.2922247150847006,0.0
15,23.467306110328902,1.7080735821432624,0.093884610645144,0.0
16,28.42200689441097,1.8051575096122252,0.0962022959096837,0.0
17,13.12374591077305,1.749379343675074,0.118682384075751,0.0
18,12.556219589176989,0.0,-68.43641924885026,1.0
19,19.454507744511417,1.671774707796476,0.0840531767680984,0.0
20,86.43491369480816,1.588632141701451,0.0838695774439181,1.0
21,6.335892407102271,1.1001741060808932,1.1103546940381863,0.0
22,3.926372615709639,1.6401418285300458,0.1954059681958233,0.0
23,9.961280835645248,1.8240379520783856,0.115154142871686,0.0
24,25.086419307019646,1.8379354474775405,0.1031094081146055,0.0
27,10.473249366403412,0.9381345785298296,0.1414334257297422,0.0
31,22.399166172458997,1.8287362690381197,0.0987536905374716,0.0
32,15.65424931645178,1.7087914625442495,0.0979133688507331,0.0
33,5.9859048301822675,0.9345888531926144,0.1370508219760338,0.0
139,69.98094174033157,1.4879966609205382,0.0913744495001225,1.0
362,24.069762329633424,0.0,-131.189832601434,1.0
0,5.215473323517322,0.6205849879829479,0.2785956330045135,0.0
1,5.114661212105318,0.6995424629415493,0.040211611707464,0.0
2,3.908855706140197,0.3054687237856159,0.0400412320859206,0.0
3,4.010114289779186,0.4029778590612205,0.0369043724365539,0.0
4,11.08295683414534,1.2745267240085207,0.0656387790472214,0.0
5,5.0157510566361,0.8689463705138676,0.0429556112264099,0.0
6,5.327019638139359,0.9134436719186468,0.1024064270200765,0.0
7,7.310795131565752,0.8587748141218788,0.0456146287148171,0.0
8,0.8066547407276256,0.0,-4.39659099886185,0.0
10,1.4934014222774243,0.0,-8.139635111980873,0.0
11,5.528232692020664,0.9836256805516206,0.0432184024511668,0.0
13,3.955591362618538,0.5965024185241017,0.0714127118672223,0.0
14,7.501643646321366,0.5523373024665577,0.1008220503512023,0.0
15,8.04980211913576,0.7878846200137452,0.0506130843410889,0.0
16,5.473307440387335,0.9704145664121142,0.0539354627827971,0.0
17,6.489742767787991,0.7089296758033257,0.0449873516569836,0.0
18,13.440525066593729,1.4111525069633568,0.0869366778035439,0.0
19,5.2940692637049835,1.113859032566956,0.051307262198252,0.0
20,4.65285227358292,0.5499012934399131,0.1112261748502806,0.0
21,5.597013750969896,0.9908121422387274,0.0685353798261245,0.0
22,3.8188010656338265,-0.4292919863214941,0.2495609883525757,0.0
23,5.135015896103902,0.355400613073536,0.1729934831801359,0.0
24,4.465071124784469,0.7965847908283914,0.1827744930160472,0.0
25,6.611760621768428,1.1246533966271852,0.0518302235254465,0.0
26,5.854823712675135,0.9545951621021465,0.0532694380560464,0.0
27,6.056620414590948,1.0923580893995697,0.0605611971864379,0.0
28,6.279626333807638,0.5051108701333635,0.0699522531710235,0.0
29,4.534247484963551,0.8083374018523711,0.0612632609068252,0.0
30,4.014070170305327,0.0523468450980297,0.0947526961470829,0.0
31,9.600377962040572,1.12253649041068,0.0830162453764858,0.0
32,5.471166407778788,0.7425989158311426,0.0949157306184957,0.0
33,6.879780447180835,0.0727241475883969,0.0441644686574982,0.0
34,3.5177419137391666,0.8068864749332052,0.0454083969166925,0.0
35,5.537973657511977,1.6210611833404065,0.454671086664539,0.0
36,4.806143117650307,0.4309260540911636,0.0625300397112194,0.0
37,3.1924680756765293,0.5443847044955177,0.0337137026147271,0.0
38,9.489680756817831,1.3850951217711391,0.0708628793750603,0.0
39,8.937600687547992,1.408211973881509,0.0689770740682775,0.0
40,8.51687083033861,0.9984322839980008,0.0626736736968293,0.0
41,8.587448916080685,0.7225800920335569,0.0517731861857767,0.0
42,26.383092630687585,1.258936769010939,0.0983813543324907,1.0
43,6.398409996152497,1.0219209371179243,0.0496554573714967,0.0
44,12.808500518064342,1.2707228335725096,0.0758559603814483,0.0
45,5.305983382406154,0.8990458954101885,0.0426453217368457,0.0
46,10.535913260278289,1.5585513046460713,0.0791370619982446,0.0
47,16.98381014007838,1.8661725584786653,0.1007736932490254,0.0
48,3.731120650827087,0.7732759989908979,0.0444185433253068,0.0
49,7.91291845775509,1.0007567668818482,0.0498205127403053,0.0
50,7.007042040024147,1.4127746912833952,0.0682390921033924,0.0
